"Region, subregion, country or area *",Location code,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,,,,,,,,
Northern Africa,912,272131.338,276302.254,280740.471,284969.259,289000.356,293001.927,296979.992,300939.494,304888.274,308836.011,312783.669,316728.791,320663.326,324593.188,328513.972,332420.015,336314.081,340194.51,344050.909,347868.09,351642.419,355363.31,359015.181,362597.301,366123.907,369601.397,373025.622,376375.696,379648.422,382849.996,385985.9,389047.971,392019.697,394912.904,397741.365,400501.358,403185.735,405801.296,408369.279,410882.021,413335.209,415717.745,418043.652,420332.763,422550.311,424705.938,426800.141,428849.308,430875.105,432840.827,434742.809,436591.297,438370.868,440085.997,441748.889,443353.234,444888.236,446355.523,447767.582,449136.097,450464.007,451730.754,452931.736,454076.238,455147.26,456132.556,457041.41,457881.909,458667.478,459396.687,460027.738,460584.167,461081.184,461509.322,461882.586,462183.008,462424.933,,,,,,,,
Algeria,12,46814.307,47435.311,48028.334,48593.408,49135.522,49655.378,50154.166,50637.359,51113.494,51584.24,52048.004,52516.79,52986.267,53452.776,53921.846,54396.252,54873.476,55351.988,55834.555,56319.592,56806.178,57290.156,57767.667,58234.17,58690.885,59136.158,59565.554,59975.606,60357.127,60714.899,61054.23,61368.719,61662.094,61929.848,62171.439,62392.707,62589.958,62763.87,62925.695,63074.913,63211.557,63340.462,63457.814,63567.477,63671.455,63770.663,63858.952,63949.916,64051.596,64149.758,64245.958,64342.159,64431.152,64514.92,64597.243,64675.917,64750.726,64815.574,64870.708,64921.815,64969.834,65014.717,65055.632,65087.129,65107.986,65115.448,65115.474,65105.744,65081.097,65052.821,65010.261,64951.512,64882.626,64802.067,64709.156,64602.941,64487.527,,,,,,,,
Egypt,818,116538.258,118365.994,120101.175,121847.617,123608.457,125373.049,127139.321,128912.252,130695.078,132485.605,134287.84,136097.218,137913.263,139738.696,141565.83,143393.264,145213.654,147018.556,148800.781,150547.656,152255.334,153919.189,155535.948,157114.406,158657.389,160161.614,161630.192,163063.539,164468.973,165849.962,167203.818,168531.682,169835.152,171117.536,172379.1,173622.458,174845.206,176046.974,177229.969,178398.627,179552.862,180677.455,181775.598,182855.193,183911.492,184941.154,185940.69,186912.36,187857.2,188769.063,189649.296,190502.723,191327.318,192118.607,192875.362,193602.706,194292.9,194947.814,195572.35,196164.362,196727.669,197258.868,197760.951,198240.475,198692.01,199110.32,199500.19,199868.284,200211.943,200529.821,200820.194,201078.011,201300.656,201487.95,201650.878,201787.334,201895.183,,,,,,,,
Libya,434,7381.023,7458.554,7539.852,7627.488,7716.842,7802.212,7885.807,7969.108,8048.49,8126.638,8206.614,8283.954,8357.485,8431.728,8506.598,8579.854,8651.417,8719.616,8786.62,8854.39,8920.028,8983.948,9043.672,9098.408,9154.064,9208.613,9260.606,9310.578,9358.996,9406.049,9450.576,9488.716,9517.262,9545.122,9574.204,9602.353,9626.505,9646.521,9667.884,9684.36,9700.892,9721.658,9740.137,9755.034,9771.007,9790.088,9807.898,9822.262,9838.795,9857.314,9870.656,9882.193,9894.57,9903.765,9908.671,9917.079,9928.368,9939.397,9949.686,9955.71,9960.825,9967.332,9970.72,9969.103,9961.976,9951.464,9938.209,9925.703,9913.953,9899.041,9885.716,9874.245,9860.176,9841.87,9821.377,9802.013,9783.569,,,,,,,,
Morocco,504,38081.173,38430.77,38762.441,39080.099,39384.126,39674.56,39953.46,40221.743,40477.986,40722.975,40957.244,41182.094,41398.23,41604.033,41802.274,41990.445,42168.205,42339.042,42500.327,42650.495,42792.498,42925.306,43046.179,43158.169,43262.402,43355.72,43440.431,43517.148,43582.318,43635.688,43677.271,43707.696,43726.125,43734.77,43736.171,43727.216,43707.41,43679.64,43642.756,43597.898,43545.672,43482.773,43414.312,43341.074,43260.129,43173.139,43078.138,42976.746,42869.614,42755.096,42634.713,42509.927,42380.729,42246.044,42105.474,41958.512,41806.425,41650.319,41489.709,41325.692,41156.547,40980.568,40800.251,40617.856,40433.495,40243.913,40048.05,39847.267,39642.311,39433.97,39222.844,39008.469,38789.885,38568.204,38343.505,38115.526,37884.37,,,,,,,,
Sudan,729,50448.962,51662.148,53282.719,54724.218,55993.834,57275.44,58571.617,59872.938,61179.48,62497.204,63822.357,65148.316,66470.016,67791.24,69107.709,70416.626,71730.599,73056.22,74387.56,75723.663,77066.454,78415.203,79767.267,81115.239,82463.196,83828.354,85206.383,86579.066,87948.533,89312.188,90675.082,92037.874,93382.431,94710.345,96030.148,97334.647,98627.439,99911.421,101188.856,102453.59,103694.992,104912.031,106120.308,107327.492,108500.28,109646.932,110783.065,111909.753,113032.704,114137.401,115223.067,116288.195,117323.933,118343.023,119357.995,120351.201,121318.084,122265.94,123204.358,124144.981,125083.376,126001.731,126896.229,127774.773,128626.454,129448.912,130241.609,131002.82,131753.188,132484.572,133162.56,133817.374,134465.73,135099.798,135721.794,136314.738,136890.755,,,,,,,,
Tunisia,788,12277.109,12348.573,12415.139,12476.098,12531.992,12582.708,12628.142,12669.921,12709.149,12746.529,12781.01,12812.268,12842.491,12872.06,12900.188,12927.305,12953.864,12979.693,13005.236,13030.303,13054.102,13076.089,13095.744,13113.222,13127.664,13138.145,13145.141,13148.161,13146.73,13141.448,13131.366,13116.212,13096.444,13072.219,13044.594,13014.042,12979.264,12940.831,12900.063,12856.8,12811.784,12764.362,12715.108,12664.872,12613.236,12560.48,12507.103,12453.27,12399.596,12345.71,12291.712,12237.861,12184.08,12129.776,12073.35,12016.009,11959.126,11903.15,11846.743,11788.912,11730.69,11672.127,11612.096,11550.653,11488.837,11425.876,11361.334,11295.676,11228.788,11160.652,11090.878,11019.843,10947.928,10875.778,10802.95,10728.33,10652.235,,,,,,,,
Western Sahara,732,590.506,600.903,610.813,620.332,629.584,638.58,647.48,656.174,664.596,672.82,680.6,688.152,695.574,702.654,709.524,716.268,722.864,729.396,735.831,741.99,747.825,753.418,758.703,763.688,768.305,772.793,777.315,781.596,785.744,789.762,793.557,797.073,800.19,803.064,805.709,807.936,809.954,812.04,814.058,815.834,817.45,819.004,820.374,821.621,822.71,823.484,824.293,825,825.601,826.485,827.408,828.239,829.086,829.861,830.795,831.808,832.608,833.329,834.028,834.627,835.065,835.41,835.856,836.247,836.501,836.624,836.544,836.415,836.198,835.81,835.286,834.712,834.183,833.655,832.928,832.124,831.294,,,,,,,,
Southern Africa,913,73138.701,74021.757,74868.913,75699.159,76525.565,77339.731,78131.972,78906.256,79669.296,80416.658,81149.508,81874.03,82586.097,83286.362,83976.154,84649.31,85312.325,85974.669,86632.881,87283.359,87926.452,88563.576,89200.905,89835.011,90447.319,91040.447,91625.466,92206.867,92774.191,93316.595,93850.189,94377.304,94886.36,95382.539,95875.377,96356.778,96823.129,97274.582,97716.184,98153.335,98579.647,98983.117,99371.767,99753.786,100122.264,100480.398,100843.25,101211.497,101554.282,101870.793,102185.744,102497.551,102796.782,103095.372,103398.484,103694.956,103987.51,104278.294,104560.683,104836.524,105102.133,105349.072,105598.842,105857.208,106108.033,106352.062,106588.811,106827.368,107059.973,107281.111,107499.437,107705.525,107895.452,108074.789,108258.431,108451.685,108649.394,,,,,,,,
Botswana,72,2521.139,2562.122,2603.388,2644.642,2685.608,2726.043,2765.918,2804.989,2843.234,2880.982,2917.978,2954.414,2990.135,3025.228,3059.533,3093.374,3126.64,3159.131,3190.97,3222.567,3254.015,3285.301,3317.002,3348.5,3379.112,3408.768,3437.43,3465.408,3493.077,3519.978,3545.43,3570.058,3594.089,3617.756,3641.214,3662.868,3682.968,3702.546,3720.811,3737.29,3752.679,3767.441,3780.895,3793.354,3804.747,3814.868,3823.498,3830.655,3837.865,3844.506,3850.178,3855.867,3861.536,3866.644,3871.221,3874.905,3877.213,3878.572,3880.018,3881.689,3883.105,3884.067,3884.583,3885.182,3885.442,3885.043,3883.332,3879.753,3875.609,3871.635,3867.504,3863.243,3858.668,3853.601,3847.968,3842.43,3836.824,,,,,,,,
Eswatini,748,1242.822,1256.174,1269.858,1283.222,1295.967,1308.349,1320.918,1333.171,1344.897,1356.744,1368.359,1379.418,1390.155,1400.445,1410.501,1420.451,1429.781,1439.044,1448.11,1456.449,1464.37,1472.137,1479.611,1486.494,1493.023,1499.434,1505.331,1510.782,1515.942,1520.481,1524.362,1527.664,1530.611,1533.361,1536.017,1538.249,1539.564,1540.354,1540.952,1541.076,1540.78,1540.153,1539.333,1538.053,1536.165,1533.89,1531.453,1528.713,1525.547,1522.095,1518.055,1513.671,1509.06,1504.249,1499.64,1494.933,1489.791,1484.437,1478.619,1472.249,1465.479,1458.343,1451.217,1444.221,1437.188,1429.871,1422.364,1414.662,1406.865,1399.107,1391.14,1383.01,1374.858,1366.736,1358.519,1349.837,1340.879,,,,,,,,
Lesotho,426,2337.422,2363.324,2389.336,2415.368,2441.442,2467.683,2493.819,2520.021,2546.49,2573.11,2599.779,2626.567,2653.498,2680.08,2706.203,2732.146,2757.876,2783.369,2808.543,2833.26,2857.504,2881.339,2904.784,2927.865,2950.413,2972.157,2993.076,3013.558,3033.468,3052.322,3070.098,3087.284,3103.87,3119.743,3135.128,3150.018,3164.303,3177.872,3190.884,3202.918,3213.882,3224.032,3233.714,3243.286,3252.543,3261.246,3269.324,3276.547,3282.697,3288.163,3293.323,3297.636,3301.209,3304.588,3307.444,3309.742,3311.356,3312.334,3312.871,3312.996,3312.88,3312.368,3311.725,3310.742,3309.192,3307.347,3305.222,3302.682,3299.293,3295.485,3291.601,3287.138,3282.244,3277.008,3271.338,3265.513,3259.299,,,,,,,,
Namibia,516,3030.131,3092.816,3153.246,3212.904,3272.163,3330.806,3389.958,3449.496,3508.237,3565.342,3621.821,3678.88,3735.93,3792.796,3850.301,3907.18,3962.405,4017.678,4073.357,4129.57,4186.104,4243.35,4299.961,4355.498,4409.45,4460.502,4512.3,4564.906,4616.272,4666.786,4716.094,4764.871,4812.928,4859.148,4904.468,4948.806,4992.78,5035.412,5076.03,5115.886,5153.864,5189.914,5226.207,5262.698,5297.729,5330.812,5361.952,5392.094,5421.638,5449.974,5478.138,5507.229,5535.423,5561.882,5587.412,5611.42,5635.057,5658.708,5680.542,5700.53,5719.149,5736.758,5754.869,5772.717,5788.736,5803.191,5817.169,5830.57,5842.812,5854.3,5863.78,5871.652,5877.535,5881.978,5887.092,5892.539,5897.944,,,,,,,,
South Africa,710,64007.186,64747.319,65453.084,66143.022,66830.384,67506.849,68161.359,68798.579,69426.439,70040.481,70641.572,71234.752,71816.379,72387.814,72949.617,73496.159,74035.624,74575.448,75111.9,75641.513,76164.46,76681.449,77199.547,77716.655,78215.323,78699.586,79177.328,79652.213,80115.432,80557.028,80994.204,81427.426,81844.862,82252.531,82658.549,83056.837,83443.514,83818.397,84187.506,84556.165,84918.442,85261.576,85591.617,85916.397,86231.081,86539.583,86857.023,87183.487,87486.535,87766.053,88046.049,88323.147,88589.554,88858.009,89132.767,89403.956,89674.092,89944.244,90208.634,90469.062,90721.519,90957.536,91196.448,91444.345,91687.476,91926.609,92160.724,92399.701,92635.394,92860.583,93085.412,93300.481,93502.147,93695.465,93893.514,94101.366,94314.448,,,,,,,,
Western Africa,914,456251.328,466532.788,476911.144,487380.493,497923.236,508537.81,519221.777,529976.438,540812.696,551710.97,562644.733,573606.492,584597.326,595589.668,606570.824,617546.099,628498.372,639408.831,650276.077,661094.208,671856.484,682547.937,693160.549,703695.89,714155.093,724533.888,734831.108,745055.738,755194.198,765236.976,775173.691,785022.883,794778.463,804414.329,813946.572,823375.204,832688.68,841899.154,851005.548,859991.494,868855.146,877584.189,886181.276,894649.466,902962.69,911107.316,919070.844,926873.248,934509.069,941959.178,949236.934,956346.184,963264.282,969962.289,976466.074,982784.702,988899.71,994816.016,1000516.241,1006013.045,1011298.315,1016369.515,1021266.45,1025947.484,1030407.883,1034694.882,1038802.599,1042709.235,1046411.785,1049913.531,1053249.828,1056416.386,1059415.272,1062255.932,1064933.6,1067444.403,1069781.674,,,,,,,,
Benin,204,14462.724,14814.46,15170.42,15529.413,15890.28,16253.92,16618.822,16985.931,17357.064,17731.438,18109.912,18492.631,18878.045,19264.499,19655.275,20049.969,20445.76,20843.264,21242.981,21643.637,22042.571,22443.646,22846.196,23245.139,23642.191,24038.607,24433.809,24827.844,25220.854,25610.344,25998.164,26386.125,26768.354,27146.959,27524.09,27899.072,28272.76,28643.202,29011.907,29379.347,29746.076,30111.489,30471.403,30825.989,31177.482,31528.706,31879.283,32224.059,32564.726,32900.612,33229.13,33548.44,33860.334,34169.266,34473.295,34771.315,35063.024,35348.91,35632.346,35910.584,36178.046,36438.98,36693.858,36942.732,37186.93,37424.139,37651.974,37871.222,38086.11,38295.128,38500.326,38700.678,38892.735,39074.808,39249.871,39421.86,39587.568,,,,,,,,
Burkina Faso,854,23548.781,24074.58,24601.7,25130.911,25661.941,26194.607,26730.325,27270.863,27815.17,28363.851,28916.948,29469.746,30019.878,30567.56,31112.525,31654.872,32193.645,32728.838,33260.948,33788.598,34311.736,34829.69,35339.503,35842.178,36336.706,36823.432,37304.383,37777.225,38242.572,38701.585,39152.19,39594.569,40029.935,40459.357,40882.711,41296.899,41703.264,42104.629,42497.031,42879.256,43255.064,43621.034,43977.05,44325.774,44665.708,44996.492,45317.075,45627.049,45928.075,46220.2,46499.298,46763.508,47017.35,47261.63,47491.511,47706.648,47909.727,48101.231,48280.446,48448.868,48606.4,48752.49,48888.622,49016.576,49135.258,49242.231,49338.636,49423.427,49500.273,49570.113,49630.28,49681.95,49728.799,49771.49,49806.205,49833.574,49854.228,,,,,,,,
Cabo Verde,132,524.877,527.325,529.63,531.872,534.115,536.348,538.614,540.764,542.795,544.758,546.652,548.591,550.474,552.287,554.082,555.797,557.374,558.818,560.137,561.347,562.464,563.476,564.354,565.021,565.507,565.898,566.134,566.201,566.144,565.911,565.404,564.662,563.784,562.744,561.51,560.054,558.428,556.66,554.681,552.571,550.404,548.114,545.628,542.94,540.164,537.327,534.406,531.509,528.562,525.478,522.29,518.975,515.553,512.082,508.554,504.874,501.052,497.147,493.164,489.172,485.114,480.956,476.784,472.595,468.371,464.068,459.735,455.444,451.16,446.839,442.499,438.182,433.905,429.649,425.417,421.186,416.94,,,,,,,,
C�te d'Ivoire,384,31934.23,32711.547,33494.346,34281.129,35077.096,35883.455,36699.009,37529.366,38376.606,39244.383,40132.808,41033.848,41948.466,42879.998,43824.369,44778.745,45743.924,46717.432,47702.163,48700.665,49709.046,50716.067,51718.056,52721.463,53730.595,54739.406,55746.985,56759.561,57772.652,58783.276,59797.639,60815.802,61826.433,62831.827,63843.645,64855.752,65861.37,66872.832,67888.44,68908.169,69935.317,70968.22,72013.857,73059.532,74101.979,75138.746,76166.277,77193.744,78211.565,79219.659,80225.057,81235.636,82241.363,83234.027,84223.328,85204.418,86179.854,87153.993,88121.003,89080.799,90020.568,90946.503,91879.537,92807.681,93723.59,94638.954,95557.108,96471.115,97374.901,98256.245,99121.206,99975.736,100815.103,101636.47,102447.192,103251.94,104042.819,,,,,,,,
Gambia,270,2759.988,2822.093,2884.079,2945.881,3007.546,3069.018,3130.134,3190.997,3251.824,3312.596,3373.121,3433.426,3493.576,3553.533,3613.501,3673.34,3732.797,3791.801,3850.536,3909.026,3966.913,4024.237,4080.97,4137.202,4192.849,4247.714,4301.896,4355.372,4408.051,4459.829,4510.992,4561.378,4610.744,4659.372,4707.076,4753.935,4800.124,4845.632,4890.16,4933.388,4975.512,5016.711,5056.652,5095.058,5132.304,5168.42,5203.32,5236.938,5269.246,5300.648,5331.11,5360.347,5388.21,5414.852,5440.45,5464.708,5487.552,5509.186,5529.536,5548.562,5566.453,5583.274,5598.754,5613.092,5626.53,5638.781,5649.789,5659.538,5668.247,5676.13,5682.735,5688.119,5692.69,5696.418,5699.398,5701.72,5703.042,,,,,,,,
Ghana,288,34427.414,35064.273,35697.557,36328.263,36959.314,37589.71,38222.089,38856.803,39492.794,40132.725,40774.156,41412.554,42047.456,42682.175,43314.977,43942.859,44568.35,45190.636,45808.599,46421.965,47030.358,47634.274,48231.61,48823.459,49408.51,49984.44,50553.047,51112.49,51660.6,52200.454,52732.753,53257.057,53773.86,54281.345,54779.347,55269.089,55750.054,56223.233,56688.795,57143.822,57590.435,58027.209,58454.299,58876.561,59291.914,59695.87,60088.946,60477.744,60858.973,61229.391,61592.819,61951.859,62303.14,62642.67,62974.917,63296.773,63606.282,63905.541,64193.034,64469.403,64731.609,64981.22,65221.846,65456.512,65683.291,65897.245,66099.925,66291.458,66469.228,66634.786,66792.569,66940.848,67078.48,67208.861,67332.183,67445.746,67547.746,,,,,,,,
Guinea,324,14754.786,15099.727,15441.992,15784.089,16126.574,16466.756,16807.147,17147.634,17485.892,17822.202,18154.407,18486.013,18820.865,19155.753,19489.369,19823.858,20160.75,20497.029,20830.652,21163.499,21492.051,21817.245,22141.685,22463.112,22780.054,23092.613,23404.584,23715.929,24024.293,24331.757,24634.04,24929.831,25221.691,25506.952,25788.344,26064.814,26331.823,26593.083,26851.423,27105.402,27352.387,27591.502,27825.62,28054.753,28277.332,28493.739,28702.814,28905.304,29101.028,29289.079,29471.574,29650.855,29823.857,29986.522,30142.676,30295.88,30441.885,30582.998,30719.062,30847.39,30969.915,31086.363,31194.418,31289.85,31378.745,31462.979,31539.457,31607.972,31672.846,31734.35,31789.058,31835.992,31877.187,31915.98,31951.32,31982.067,32007.046,,,,,,,,
Guinea-Bissau,624,2201.352,2249.515,2297.808,2346.189,2394.23,2441.582,2488.934,2536.9,2585.578,2634.708,2683.088,2730.132,2777.89,2826.168,2873.934,2921.987,2969.702,3016.544,3063.17,3109.93,3156.712,3204.248,3251.467,3298.567,3345.864,3392.568,3438.608,3483.364,3526.637,3568.019,3609.515,3650.912,3690.438,3729.321,3768.463,3807.309,3844.366,3880.714,3917.381,3953.069,3987.779,4021.99,4054.507,4085.424,4116.218,4146.289,4175.014,4203.006,4230.802,4258.339,4284.634,4310.602,4336.156,4360.026,4382.401,4403.529,4423.686,4441.582,4457.888,4473.732,4489.79,4505.908,4521.433,4535.928,4549,4561.204,4572.871,4584.154,4595.71,4607.344,4618.631,4628.442,4636.972,4645.198,4652.243,4658.938,4665.485,,,,,,,,
Liberia,430,5612.817,5731.206,5853.949,5986.8,6118.76,6245.086,6366.291,6486.741,6614.254,6744.921,6873.68,7003.557,7142.322,7278.756,7408.712,7545.5,7681.688,7817.084,7954.176,8077.162,8194.126,8310.644,8428.91,8552.022,8673.948,8795.828,8910.53,9020.146,9131.262,9244.652,9354.472,9464.17,9582.133,9697.546,9803.797,9919.664,10038.635,10146.136,10252.826,10357.794,10457.337,10556.603,10653.854,10751.265,10844.393,10933.09,11024.77,11118.943,11211.061,11300.823,11398.814,11491.638,11577.78,11660.12,11735.916,11811.752,11888.868,11960.822,12014.584,12061.958,12112.68,12168.81,12232.316,12280.693,12313.54,12354.966,12402.843,12437.48,12462.188,12492.894,12524.174,12549.171,12577.658,12608.05,12631.592,12647.182,12665.394,,,,,,,,
Mali,466,24478.596,25198.821,25932.275,26679.17,27440.61,28215.512,29002.865,29804.539,30618.889,31442.797,32276.676,33118.345,33967.888,34823.45,35685.574,36549.482,37413.643,38280.866,39151.278,40026.324,40902.503,41778.981,42655.645,43530.854,44405.72,45279.773,46154.079,47029.244,47903.086,48774.667,49641.485,50506.62,51370.058,52230.256,53087.11,53938.845,54787.47,55631.884,56469.741,57301.04,58125.507,58941.086,59750.129,60555.494,61354.444,62143.099,62919.46,63687.76,64444.735,65187.035,65916.527,66630.542,67329.807,68016.981,68691.458,69351.708,69994.175,70623.129,71238.141,71836.424,72418.544,72981.194,73525.51,74054.456,74567.715,75062.755,75539.858,75997.352,76434.609,76855.739,77265.138,77657.032,78027.66,78380.621,78719.915,79044.476,79354.048,,,,,,,,
Mauritania,478,5169.396,5315.065,5461.319,5608.791,5757.956,5909.196,6062.528,6217.789,6374.846,6533.84,6694.45,6856.318,7019.235,7183.119,7348.364,7514.742,7681.908,7850.223,8020.484,8192.549,8365.182,8538.531,8713.26,8888.481,9064.219,9240.178,9415.598,9592,9769.711,9947.45,10124.33,10300.45,10475.608,10650.676,10827.339,11004.482,11180.22,11355.028,11529.734,11703.702,11877.946,12051.735,12224.644,12397.847,12569.361,12739.404,12908.45,13076.824,13244.154,13409.179,13572.516,13734.752,13895.84,14055.488,14213.522,14368.501,14520.791,14672.015,14821.348,14968.968,15114.732,15257.622,15398.692,15538.559,15676.051,15810.312,15941.788,16071.138,16197.736,16321.552,16443.139,16561.438,16677.789,16792.538,16904.645,17013.069,17118.469,,,,,,,,
Niger,562,27032.412,27917.831,28814.878,29723.696,30643.562,31575.094,32518.075,33469.618,34428.639,35397.037,36372.384,37353.463,38340.145,39330.376,40323.47,41318.412,42316.74,43319.239,44326.122,45337.255,46353.162,47374.117,48398.001,49423.856,50452.204,51482.566,52513.876,53546.93,54579.905,55611.925,56642.907,57670.448,58692.35,59709.194,60721.692,61727.053,62724.334,63714.662,64697.091,65669.719,66632.379,67583.44,68524.008,69454.658,70372.169,71276.437,72166.391,73041.676,73903.261,74749.791,75580.229,76395.928,77197.233,77981.277,78747.339,79495.448,80226.968,80941.159,81637.348,82315.711,82973.776,83611.322,84227.766,84823.965,85401.756,85960.006,86498.189,87017.328,87517.732,87998.816,88458.927,88899.375,89321.566,89724.981,90108.442,90472.397,90819.274,,,,,,,,
Nigeria,566,232679.478,237527.782,242431.832,247374.263,252346.128,257352.638,262380.97,267421.074,272483.642,277555.115,282622.397,287685.762,292739.396,297773.244,302782.358,307764.756,312710.416,317607.244,322450.309,327243.939,331983.358,336662.502,341281.763,345844.009,350347.769,354792.425,359185.556,363523.61,367803.706,372023.922,376177.42,380268.493,384300.68,388268.096,392170.714,396009.372,399785.267,403501.394,407149.193,410725.691,414232.572,417659.131,420998.046,424256.028,427425.878,430503.484,433485.694,436373.28,439170.599,441867.332,444465.529,446969.593,449370.432,451660.302,453850.397,455942.795,457921.59,459785.704,461539.632,463189.387,464743.616,466191.503,467531.292,468768.175,469901.801,470940.052,471885.519,472741.816,473500.176,474160.897,474739.497,475247.942,475693.113,476068.925,476375.126,476601.904,476747.781,,,,,,,,
Saint Helena,654,5.238,5.197,5.148,5.091,5.039,4.985,4.928,4.874,4.819,4.764,4.71,4.656,4.608,4.56,4.505,4.456,4.412,4.364,4.32,4.274,4.23,4.187,4.14,4.097,4.053,4.013,3.968,3.925,3.882,3.834,3.79,3.747,3.707,3.667,3.625,3.584,3.545,3.506,3.469,3.435,3.401,3.37,3.343,3.309,3.28,3.252,3.226,3.205,3.184,3.16,3.138,3.117,3.093,3.069,3.048,3.032,3.017,2.994,2.971,2.952,2.93,2.909,2.891,2.872,2.856,2.836,2.812,2.792,2.772,2.754,2.734,2.717,2.704,2.688,2.67,2.652,2.635,,,,,,,,
Senegal,686,18501.984,18931.967,19366.548,19807.247,20254.562,20706.626,21163.192,21623.713,22085.926,22548.839,23012.027,23476.596,23942.226,24407.573,24872.522,25335.986,25797.51,26257.474,26716.433,27174.899,27632.997,28089.699,28546.284,29002.003,29457.24,29911.843,30364.954,30817.068,31266.52,31715.368,32163.471,32611.132,33059.738,33506.164,33950.082,34388.716,34822.2,35254.386,35683.98,36108.794,36528.694,36943.862,37353.741,37755.946,38150.501,38540.718,38922.604,39295.916,39663.959,40025.539,40380.144,40728.58,41067.913,41396.628,41717.856,42031.581,42337.038,42636.508,42930.175,43219.712,43502.15,43775.826,44043.716,44302.685,44552.208,44795.888,45032.516,45260.648,45482.106,45697.07,45906.692,46109.59,46304.466,46493.35,46674.418,46847.493,47014.186,,,,,,,,
Sierra Leone,694,8642.022,8819.794,8996.744,9174.692,9349.025,9520.818,9694.858,9870.298,10047.199,10221.014,10391.49,10563.168,10734.348,10902.268,11066.15,11230.061,11398.4,11566.216,11728.792,11887.937,12049.426,12208.88,12363.458,12512.756,12659.611,12805.142,12948.325,13093.462,13236.024,13372.796,13502.271,13629.114,13755.179,13876.265,13993.957,14107.963,14219.379,14327.425,14435.385,14539.892,14636.716,14732.95,14829.171,14924.59,15015.899,15099.726,15177.973,15251.752,15321.992,15390.199,15450.928,15507.865,15564.818,15617.355,15667.01,15712.16,15751.832,15790.543,15828.182,15862.678,15891.034,15913.301,15937.244,15958.64,15973.461,15986.028,15996.608,16004.831,16009.636,16008.707,16006.576,16002.502,15992.9,15980.211,15966.369,15952.536,15934.256,,,,,,,,
Togo,768,9515.235,9721.608,9930.918,10142.996,10356.496,10572.461,10792.997,11018.536,11246.761,11475.982,11705.826,11937.684,12170.508,12404.347,12641.136,12881.276,13121.352,13361.76,13604.976,13851.202,14099.65,14347.512,14595.25,14841.67,15088.054,15337.442,15584.778,15831.366,16078.297,16321.187,16562.847,16808.372,17053.773,17294.59,17533.071,17768.601,18005.44,18244.747,18484.309,18726.404,18967.622,19205.743,19445.325,19684.298,19923.664,20162.518,20395.141,20624.541,20853.146,21082.717,21313.198,21543.95,21771.403,21989.994,22202.395,22419.579,22642.369,22862.552,23077.378,23286.745,23490.958,23691.335,23891.77,24082.475,24266.78,24452.438,24632.971,24811.522,24986.356,25154.168,25325.646,25496.674,25661.543,25825.693,25986.594,26145.662,26300.754,,,,,,,,
Asia,935,4806898.007,4835320.06,4863327.398,4890963.064,4917843.748,4943926.46,4969233.395,4993723.007,5017352.074,5040129.16,5062015.155,5082984.232,5103100.908,5122349.848,5140673.146,5158094.363,5174593.429,5190087.824,5204528.681,5217954.615,5230375.978,5241726.791,5251949.947,5260932.942,5268643.448,5275145.134,5280378.4,5284230.208,5286754.899,5288123.874,5288307.738,5287300.448,5285221.156,5282112.97,5277983.407,5272838.498,5266840.004,5260047.768,5252560.171,5244518.559,5235886.564,5226686.835,5216941.579,5206602.08,5195749.923,5184405.355,5172528.448,5160113.562,5147107.944,5133579.822,5119486.936,5104719.776,5089367.902,5073455.515,5056912.46,5039867.973,5022367.491,5004314.222,4985789.041,4966848.462,4947568.669,4928012.788,4908093.351,4887935.83,4867641.582,4847151.759,4826503.638,4805756.134,4784907.33,4763909.136,4742729.612,4721401.902,4699926.202,4678293.691,4656524.086,4634655.674,4612667.564,,,,,,,,
Central Asia,5500,82225.865,83597.798,84923.544,86211.905,87471.832,88708.693,89923.849,91118.417,92303.317,93481.618,94651.102,95817.722,96986.812,98156.421,99328.253,100506.576,101694.85,102893.276,104098.543,105309.107,106522.367,107735.606,108940.175,110134.696,111316.846,112475.822,113612.321,114732.08,115835.238,116919.722,117980.903,119020.769,120042.395,121041.108,122018.725,122979.658,123921.215,124841.495,125744.671,126635.603,127510.636,128368.059,129211.793,130039.809,130854.25,131664.555,132466.127,133254.101,134027.889,134785.458,135535.101,136278.515,137011.118,137734.629,138446.225,139135.174,139807.492,140471.524,141115.842,141751.792,142384.048,142995.682,143587.285,144166.038,144726.576,145266.236,145787.712,146289.542,146772.122,147237.093,147688.226,148120.526,148528.389,148910.04,149264.15,149593.568,149900.194,,,,,,,,
