"Region, subregion, country or area *",Location code,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,,,,,,,,
More developed regions,901,1286059.118,1287256.639,1288053.49,1288535.428,1288868.102,1289038.647,1289043.141,1288903.954,1288663.531,1288368.604,1288017.102,1287595.221,1287091.417,1286528.792,1285931.216,1285258.451,1284514.086,1283744.866,1282955.293,1282090.053,1281104.78,1280035.172,1278871.683,1277592.913,1276193.009,1274652.265,1272993.069,1271242.155,1269379.88,1267366.044,1265192.239,1262886.846,1260494.048,1258089.94,1255702.389,1253281.34,1250825.306,1248396.611,1246014.566,1243672.708,1241348.924,1239059.694,1236864.328,1234788.81,1232779.632,1230821.536,1228916.648,1227074.821,1225307.07,1223583.14,1221908.646,1220352.603,1218902.035,1217456.741,1216047.998,1214683.439,1213344.882,1212128.916,1210972.2,1209810.296,1208677.593,1207520.981,1206393.245,1205349.591,1204404.499,1203489.633,1202535.853,1201624.555,1200749.224,1199873.983,1199015.649,1198134.271,1197182.01,1196207.239,1195211.407,1194150.701,1193018.636,,,,,,,,
Less developed regions,902,6875913.454,6944356.431,7012624.906,7080558.916,7147750.784,7214246.676,7280081.77,7345215.379,7409566.281,7473080.476,7535767.806,7597614.96,7658595.198,7718623.832,7777641.71,7835669.929,7892676.116,7948536.709,8003155.078,8056571.26,8108768.914,8159604.496,8209017.921,8256953.064,8303343.034,8348171.763,8391385.519,8432950.148,8472884.635,8511248.57,8548059.42,8583350.725,8617186.343,8649547.253,8680461.99,8710055.742,8738406.986,8765519.602,8791452.033,8816277.326,8840053.813,8862789.867,8884452.779,8905019.55,8924522.309,8942960.599,8960325.311,8976606.747,8991748.099,9005744.683,9018576.409,9030143.829,9040449.398,9049588.282,9057508.324,9064204.034,9069733.146,9074032.819,9077232.851,9079437.028,9080637.65,9080935.618,9080315.115,9078761.782,9076300.074,9073028.647,9069029.218,9064237.159,9058659.151,9052310.775,9045170.188,9037269.33,9028668.863,9019342.071,9009278.455,8998538.365,8987142.115,,,,,,,,
Least developed countries,941,1188013.129,1215537.741,1243581.86,1271821.409,1300234.635,1328915.276,1357820.524,1386884.616,1416002.252,1445155.865,1474385.502,1503700.063,1533093.808,1562508.194,1591936.909,1621440.335,1651055.447,1680704.269,1710330.334,1740013.101,1769748.139,1799464.296,1829222.581,1859011.31,1888771.566,1918519.039,1948140.101,1977629.353,2007092.397,2036459.776,2065706.076,2094864.783,2123908.401,2152733.706,2181284.015,2209640.848,2237786.501,2265660.19,2293244.657,2320501.218,2347483.19,2374215.184,2400562.51,2426530.443,2452190.751,2477502.897,2502506.403,2527133.006,2551368.994,2575281.851,2598813.37,2621855.019,2644419.491,2666660.824,2688513.564,2709908.001,2730837.718,2751200.162,2771114.538,2790653.46,2809796.711,2828567.124,2846845.757,2864584.966,2881771.074,2898477.682,2914794.992,2930554.786,2945741.053,2960478.658,2974731.439,2988474.703,3001808.698,3014730.288,3027167.302,3039134.386,3050648.492,,,,,,,,
"Less developed regions, excluding least developed countries",934,5687900.326,5728818.69,5769043.046,5808737.507,5847516.15,5885331.4,5922261.246,5958330.762,5993564.03,6027924.612,6061382.305,6093914.898,6125501.39,6156115.639,6185704.801,6214229.594,6241620.67,6267832.44,6292824.744,6316558.159,6339020.774,6360140.199,6379795.34,6397941.754,6414571.468,6429652.724,6443245.418,6455320.796,6465792.238,6474788.794,6482353.343,6488485.941,6493277.942,6496813.548,6499177.975,6500414.895,6500620.484,6499859.412,6498207.375,6495776.108,6492570.622,6488574.683,6483890.268,6478489.107,6472331.558,6465457.702,6457818.908,6449473.741,6440379.105,6430462.832,6419763.039,6408288.81,6396029.907,6382927.457,6368994.76,6354296.032,6338895.428,6322832.658,6306118.312,6288783.568,6270840.94,6252368.494,6233469.358,6214176.817,6194529,6174550.964,6154234.226,6133682.374,6112918.098,6091832.118,6070438.749,6048794.626,6026860.166,6004611.783,5982111.154,5959403.978,5936493.623,,,,,,,,
"Less developed regions, excluding China",948,5425243.043,5497029.461,5568597.734,5639892.059,5710761.096,5781253.544,5851358.617,5921050.477,5990246.533,6058881.96,6126950.009,6194427.326,6261288.406,6327413.693,6392734.339,6457290.783,6521078.867,6583992.596,6645930.852,6706905.813,6766916.504,6825904.03,6883873.212,6940784.148,6996586.347,7051308.467,7104902.346,7157355.673,7208723.506,7259012.738,7308200.724,7356309.04,7403356.693,7449254.028,7493982.263,7537616.91,7580163.636,7621552.784,7661773.538,7700843.15,7738807.431,7775641.966,7811269.77,7845675.889,7878871.128,7910851.628,7941625.012,7971198.522,7999554.51,8026714.977,8052662.473,8077318.934,8100714.899,8122957.634,8144002.27,8163858.721,8182582.756,8200077.982,8216431.154,8231730.333,8245981.002,8259236.669,8271421.314,8282515.963,8292544.596,8301593.603,8309727.399,8316878.361,8323077.286,8328360.979,8332717.627,8336187.519,8338844.454,8340673.334,8341664.984,8341881.816,8341345.55,,,,,,,,
LLDC: Africa,2087,388638.385,398724.575,408705.317,418849.465,429109.679,439446.29,449918.911,460433.219,470940.91,481423.489,491907.381,502434.154,513150.543,523946.487,534530.353,544985.257,555519.141,566268.179,576840.548,587325.652,598008.313,608735.397,619373.189,629803.691,640256.243,650929.657,661615.862,672267.913,682859.089,693203.935,703490.755,713635.277,723708.365,733956.354,744183.069,754376.499,764320.68,773746.555,783378.76,793085.135,802388.17,811575.436,820737.359,829798.126,838693.093,847435.775,855779.866,864153.861,872796.481,880838.294,888810.839,897100.338,905062.24,912525.297,919717.991,927312.705,935394.464,943055.199,949683.217,956154.191,963420.516,970173.498,976720.333,983148.537,988662.912,994164.415,999897.676,1005800.547,1010891.935,1015531.727,1020875.6,1026145.528,1030562.48,1034967.042,1039399.29,1043450.213,1047504.413,,,,,,,,
LLDC: Asia,2088,179822.98,182427.823,185019.607,187729.696,190566.993,193429.71,196162.538,198994.494,201925.534,204763.133,207545.285,210252.522,213015.431,215882.374,218743.173,221547.19,224457.539,227406.912,230102.137,232470.778,234844.524,237704.568,240619.665,243382.972,246212.514,248861.447,251439.993,254029.879,256805.415,259428.735,261825.786,264504.382,267179.604,269601.322,271828.859,273969.177,276255.446,278567.574,280579.381,282387.269,284295.209,286132.792,288121.599,290467.096,292563.412,294528.929,296482.304,298425.955,300054.198,301637.867,303706.419,305512.843,306878.935,308625.395,310484.742,311737.421,313150.633,315118.445,316752.895,317847.108,319153.591,320534.068,321753.51,323013.666,324138.294,325253.413,326190.487,327568.388,329068.902,329617.837,329961.751,330792.274,331877.436,332735.402,333287.872,333830.544,334075.089,,,,,,,,
LLDC: Europe,2089,4857.189,4807.781,4762.567,4723.119,4682.869,4641.908,4599.546,4556.745,4514.78,4473.396,4431.703,4389.058,4346.967,4306.93,4265.744,4223.223,4183.009,4144.335,4106.281,4068.315,4032.3,3997.787,3961.472,3925.65,3887.68,3848.691,3815.378,3781.653,3744.394,3706.59,3669.626,3633.158,3593.42,3553.376,3515.83,3478.251,3438.865,3398.578,3363.439,3328.458,3289.174,3247.804,3206.256,3165.789,3127.323,3091.271,3052.327,3012.813,2976.836,2940.008,2905.314,2874.462,2841.925,2808.041,2776.422,2746.986,2720.661,2695.397,2667.28,2638.88,2609.697,2582.55,2554.122,2523.316,2494.43,2468.115,2443.698,2415.466,2385.507,2356.946,2329.594,2302.939,2279.5,2252.915,2222.294,2197.875,2171.614,,,,,,,,
LLDC: Latin America,2090,19341.271,19591.482,19839.717,20084.5,20325.749,20563.703,20799.801,21033.538,21260.82,21483.42,21703.434,21916.499,22124.214,22333.726,22534.44,22725.387,22916.035,23109.677,23299.939,23481.352,23660.435,23837.601,24004.442,24162.491,24323.792,24482.457,24634.891,24779.537,24913.472,25054.695,25195.128,25323.178,25453.419,25574.665,25680.464,25785.957,25880.443,25965.109,26059.513,26148.217,26235.614,26321.105,26387.751,26433.714,26472.286,26514.481,26559.723,26591.03,26615.931,26649.515,26687.41,26724.929,26740.752,26754.237,26771.668,26785.052,26797.458,26807.802,26819.432,26821.879,26809.237,26788.42,26759.886,26740.051,26735.045,26709.978,26686.47,26675.062,26649.841,26628.053,26611.287,26577.902,26532.507,26499.865,26456.429,26405.546,26365.477,,,,,,,,
Small Island Developing States (SIDS),1637,73462.561,74007.961,74531.151,75040.986,75540.633,76024.671,76494.332,76953.04,77400.719,77836.971,78261,78671.416,79067.823,79449.777,79818.466,80172.034,80507.272,80825.389,81130.609,81424.129,81701.601,81965.63,82215.742,82449.263,82673.306,82883.831,83078.079,83256.253,83420.692,83572.88,83704.335,83819.421,83922.93,84015.028,84094.408,84159.905,84209.886,84244.367,84267.688,84283.193,84289.708,84282.375,84263.473,84237.305,84202.472,84155.022,84094.973,84028.511,83953.12,83861.616,83754.404,83635.762,83510.812,83376.125,83228.87,83071.063,82903.772,82724.196,82532.897,82335.58,82131.719,81919.624,81701.616,81476.174,81244.052,81005.032,80763.25,80520.9,80276.096,80028.889,79775.986,79517.374,79254.78,78990.41,78722.038,78452.53,78183.618,,,,,,,,
