Age,Gender,Breastfeeding/Pregnant,Vitamin A,Vitamin B1,Vitamin B2,Vitamin B6,Vitamin B12,Vitamin C,Calcium,Copper,Iron heme,Iron (non-heme),Magnesium,Phosporus,Potassium,Selenium,Zinc
57,Male,No,900,1.2,1.3,1.7,2.4,90,1000,900,8,16,420,700,3400,55,11
58,Male,No,900,1.2,1.3,1.7,2.4,90,1000,900,8,16,420,700,3400,55,11
59,Male,No,900,1.2,1.3,1.7,2.4,90,1000,900,8,16,420,700,3400,55,11
60,Male,No,900,1.2,1.3,1.7,2.4,90,1000,900,8,16,420,700,3400,55,11
61,Male,No,900,1.2,1.3,1.7,2.4,90,1000,900,8,16,420,700,3400,55,11
62,Male,No,900,1.2,1.3,1.7,2.4,90,1000,900,8,16,420,700,3400,55,11
63,Male,No,900,1.2,1.3,1.7,2.4,90,1000,900,8,16,420,700,3400,55,11
64,Male,No,900,1.2,1.3,1.7,2.4,90,1000,900,8,16,420,700,3400,55,11
65,Male,No,900,1.2,1.3,1.7,2.4,90,1000,900,8,16,420,700,3400,55,11
66,Male,No,900,1.2,1.3,1.7,2.4,90,1000,900,8,16,420,700,3400,55,11
67,Male,No,900,1.2,1.3,1.7,2.4,90,1000,900,8,16,420,700,3400,55,11
68,Male,No,900,1.2,1.3,1.7,2.4,90,1000,900,8,16,420,700,3400,55,11
69,Male,No,900,1.2,1.3,1.7,2.4,90,1000,900,8,16,420,700,3400,55,11
70,Male,No,900,1.2,1.3,1.7,2.4,90,1000,900,8,16,420,700,3400,55,11
71,Male,No,900,1.2,1.3,1.7,2.4,90,1200,900,8,16,420,700,3400,55,11
72,Male,No,900,1.2,1.3,1.7,2.4,90,1200,900,8,16,420,700,3400,55,11
73,Male,No,900,1.2,1.3,1.7,2.4,90,1200,900,8,16,420,700,3400,55,11
74,Male,No,900,1.2,1.3,1.7,2.4,90,1200,900,8,16,420,700,3400,55,11
75,Male,No,900,1.2,1.3,1.7,2.4,90,1200,900,8,16,420,700,3400,55,11
76,Male,No,900,1.2,1.3,1.7,2.4,90,1200,900,8,16,420,700,3400,55,11
77,Male,No,900,1.2,1.3,1.7,2.4,90,1200,900,8,16,420,700,3400,55,11
78,Male,No,900,1.2,1.3,1.7,2.4,90,1200,900,8,16,420,700,3400,55,11
79,Male,No,900,1.2,1.3,1.7,2.4,90,1200,900,8,16,420,700,3400,55,11
80,Male,No,900,1.2,1.3,1.7,2.4,90,1200,900,8,16,420,700,3400,55,11
81,Male,No,900,1.2,1.3,1.7,2.4,90,1200,900,8,16,420,700,3400,55,11
82,Male,No,900,1.2,1.3,1.7,2.4,90,1200,900,8,16,420,700,3400,55,11
83,Male,No,900,1.2,1.3,1.7,2.4,90,1200,900,8,16,420,700,3400,55,11
84,Male,No,900,1.2,1.3,1.7,2.4,90,1200,900,8,16,420,700,3400,55,11
85,Male,No,900,1.2,1.3,1.7,2.4,90,1200,900,8,16,420,700,3400,55,11
86,Male,No,900,1.2,1.3,1.7,2.4,90,1200,900,8,16,420,700,3400,55,11
87,Male,No,900,1.2,1.3,1.7,2.4,90,1200,900,8,16,420,700,3400,55,11
88,Male,No,900,1.2,1.3,1.7,2.4,90,1200,900,8,16,420,700,3400,55,11
89,Male,No,900,1.2,1.3,1.7,2.4,90,1200,900,8,16,420,700,3400,55,11
90,Male,No,900,1.2,1.3,1.7,2.4,90,1200,900,8,16,420,700,3400,55,11
91,Male,No,900,1.2,1.3,1.7,2.4,90,1200,900,8,16,420,700,3400,55,11
92,Male,No,900,1.2,1.3,1.7,2.4,90,1200,900,8,16,420,700,3400,55,11
93,Male,No,900,1.2,1.3,1.7,2.4,90,1200,900,8,16,420,700,3400,55,11
94,Male,No,900,1.2,1.3,1.7,2.4,90,1200,900,8,16,420,700,3400,55,11
95,Male,No,900,1.2,1.3,1.7,2.4,90,1200,900,8,16,420,700,3400,55,11
96,Male,No,900,1.2,1.3,1.7,2.4,90,1200,900,8,16,420,700,3400,55,11
97,Male,No,900,1.2,1.3,1.7,2.4,90,1200,900,8,16,420,700,3400,55,11
98,Male,No,900,1.2,1.3,1.7,2.4,90,1200,900,8,16,420,700,3400,55,11
99,Male,No,900,1.2,1.3,1.7,2.4,90,1200,900,8,16,420,700,3400,55,11
100+,Male,No,900,1.2,1.3,1.7,2.4,90,1200,900,8,16,420,700,3400,55,11
0,Female,No,500,0.3,0.3,0.3,0.5,50,260,220,11,22,75,275,860,20,220
1,Female,No,300,0.5,0.5,0.5,0.9,15,700,340,7,14,80,460,2000,20,340
2,Female,No,300,0.5,0.5,0.5,0.9,15,700,340,7,14,80,460,2000,20,340
3,Female,No,300,0.5,0.5,0.5,0.9,15,700,340,7,14,80,460,2000,20,340
4,Female,No,400,0.6,0.6,0.6,1.2,25,1000,440,10,20,130,500,2300,30,440
5,Female,No,400,0.6,0.6,0.6,1.2,25,1000,440,10,20,130,500,2300,30,440
6,Female,No,400,0.6,0.6,0.6,1.2,25,1000,440,10,20,130,500,2300,30,440
7,Female,No,400,0.6,0.6,0.6,1.2,25,1000,440,10,20,130,500,2300,30,440
8,Female,No,400,0.6,0.6,0.6,1.2,25,1000,440,10,20,130,500,2300,30,440
9,Female,No,600,0.9,0.9,1,1.8,45,1300,700,8,16,240,1250,2300,40,700
10,Female,No,600,0.9,0.9,1,1.8,45,1300,700,8,16,240,1250,2300,40,700
11,Female,No,600,0.9,0.9,1,1.8,45,1300,700,8,16,240,1250,2300,40,700
12,Female,No,600,0.9,0.9,1,1.8,45,1300,700,8,16,240,1250,2300,40,700
13,Female,No,600,0.9,0.9,1,1.8,45,1300,700,8,16,240,1250,2300,40,700
14,Female,No,700,1,1,1.2,2.4,65,1300,890,15,30,360,1250,2300,55,890
15,Female,No,700,1,1,1.2,2.4,65,1300,890,15,30,360,1250,2300,55,890
16,Female,No,700,1,1,1.2,2.4,65,1300,890,15,30,360,1250,2300,55,890
17,Female,No,700,1,1,1.2,2.4,65,1300,890,15,30,360,1250,2300,55,890
18,Female,No,700,1,1,1.2,2.4,65,1300,890,15,30,360,1250,2300,55,890
19,Female,No,700,1.1,1.1,1.3,2.4,75,1000,900,18,36,320,700,2600,55,900
20,Female,No,700,1.1,1.1,1.3,2.4,75,1000,900,18,36,320,700,2600,55,900
21,Female,No,700,1.1,1.1,1.3,2.4,75,1000,900,18,36,320,700,2600,55,900
22,Female,No,700,1.1,1.1,1.3,2.4,75,1000,900,18,36,320,700,2600,55,900
